time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/collision_rate,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,eval/success_rate,eval/mean_reward,eval/mean_ep_length
265,393216,96,1479,98.76,0.3,0.51,7.200348377227783,0.0003,1.4631284238770603,0.2,-0.9957439638674259,0.4840061068534851,0.2251388430595398,-0.02408259171934333,0.068521,0.3391357421875,950,,,
267,397312,97,1484,95.61,0.32,0.52,7.242901802062988,0.0003,1.3605476846918463,0.2,-0.959118353575468,0.5562304854393005,0.34687939286231995,-0.02669193633191753,0.059289955,0.3410400390625,960,,,
,400000,,,,,,,0.0003,1.8966319667175413,0.2,-0.9370566226541996,0.3231966495513916,0.36752763390541077,-0.02344628965947777,0.08150579,0.3554931640625,970,0.3,3.6234564781188965,146.7
273,401408,98,1466,92.99,0.32,0.56,7.726830959320068,,,,,,,,,,,,,
275,405504,99,1470,101.0,0.22,0.59,8.253815650939941,0.0003,1.2937748285010457,0.2,-0.8889996267855167,0.4430197477340698,0.22967754304409027,-0.026572921886690894,0.06328203,0.3383544921875,980,,,
277,409600,100,1474,102.05,0.21,0.56,7.7197980880737305,0.0003,1.0292632326483726,0.2,-0.988284531980753,0.6057653427124023,0.29080238938331604,-0.032640167241333985,0.07969416,0.3717529296875,990,,,
279,413696,101,1478,91.69,0.24,0.59,7.9078826904296875,0.0003,1.4300795994699,0.2,-0.9564478605985641,0.5804698467254639,0.3555811941623688,-0.02838438711478375,0.06912709,0.343798828125,1000,,,
281,417792,102,1481,93.32,0.28,0.55,7.3922505378723145,0.0003,1.6070595610886813,0.2,-0.9483783189207315,0.5333309173583984,0.3742823600769043,-0.0232660031382693,0.06543279,0.350732421875,1010,,,
283,421888,103,1485,90.79,0.27,0.6,8.148835182189941,0.0003,1.433016929216683,0.2,-0.9875123642385006,0.5472379922866821,0.3645445704460144,-0.028818252751079854,0.071299285,0.3685546875,1020,,,
,425000,,,,,,,0.0003,1.5909987315535545,0.2,-0.9437377471476793,0.5326417088508606,0.3209414780139923,-0.021062128074117937,0.08835684,0.3920654296875,1030,0.15,0.6726042032241821,164.95
